"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Lawaan,Eastern Samar",31160.0,31163.0,31439.0,73996.0,75932.0,75512.0,76063.0,76116.0,76421.0,75111.0,75978.0,75471.0,76261.0,75588.0,77507.0,76365.0,75482.0,75317.0,75410.0,76272.0,75819.0,75663.0,75948.0,76451.0
"Leyte,Leyte",22246.0,22249.0,22525.0,76914.0,78850.0,78430.0,78981.0,79034.0,79339.0,78029.0,78896.0,78389.0,79179.0,78506.0,80425.0,79283.0,78400.0,78235.0,78328.0,79190.0,78737.0,78581.0,78866.0,79369.0
"Libagon,Southern Leyte",30782.0,30785.0,31061.0,82648.0,84584.0,84164.0,84715.0,84768.0,85073.0,83763.0,84630.0,84123.0,84913.0,84240.0,86159.0,85017.0,84134.0,83969.0,84062.0,84924.0,84471.0,84315.0,84600.0,85103.0
"Liloan,Southern Leyte",29871.0,29874.0,30150.0,82444.0,84382.0,83962.0,84513.0,84566.0,84871.0,83561.0,84428.0,83921.0,84711.0,84038.0,85957.0,84815.0,83932.0,83767.0,83860.0,84722.0,84269.0,84113.0,84398.0,84901.0
"Llorente,Eastern Samar",36102.0,36105.0,36381.0,74154.0,76090.0,75672.0,76221.0,76274.0,76579.0,75269.0,76138.0,75629.0,76419.0,75748.0,77665.0,76523.0,75642.0,75475.0,75568.0,76430.0,75977.0,75823.0,76106.0,76609.0
"Lope de Vega,Northern Samar",44660.0,44666.0,44942.0,56756.0,58692.0,58272.0,58823.0,58876.0,59181.0,57871.0,58738.0,58231.0,59021.0,58348.0,60267.0,59125.0,58242.0,58077.0,58170.0,59032.0,58579.0,58423.0,58708.0,59211.0
"Macarthur,Leyte",26885.0,26888.0,27164.0,75470.0,77406.0,76986.0,77537.0,77590.0,77895.0,76585.0,77452.0,76945.0,77735.0,77062.0,78981.0,77839.0,76956.0,76791.0,76884.0,77746.0,77293.0,77137.0,77422.0,77925.0
"Macrohon,Southern Leyte",29656.0,29659.0,29935.0,83918.0,85852.0,85432.0,85985.0,86038.0,86341.0,85033.0,85900.0,85393.0,86181.0,85510.0,87427.0,86285.0,85404.0,85239.0,85332.0,86194.0,85741.0,85585.0,85870.0,86371.0
"Mahaplag,Leyte",24405.0,24408.0,24684.0,76980.0,78916.0,78496.0,79047.0,79100.0,79405.0,78095.0,78962.0,78455.0,79245.0,78572.0,80491.0,79349.0,78466.0,78301.0,78394.0,79256.0,78803.0,78647.0,78932.0,79435.0
"Malitbog,Southern Leyte",29779.0,29782.0,30058.0,82687.0,84621.0,84201.0,84754.0,84805.0,85110.0,83800.0,84669.0,84162.0,84950.0,84277.0,86198.0,85054.0,84173.0,84006.0,84101.0,84963.0,84508.0,84354.0,84639.0,85142.0
"Mapanas,Northern Samar",47040.0,47043.0,47319.0,60921.0,62857.0,62437.0,62988.0,63041.0,63346.0,62036.0,62903.0,62396.0,63186.0,62513.0,64432.0,63290.0,62407.0,62242.0,62335.0,63197.0,62744.0,62588.0,62873.0,63376.0
"Marabut,Samar",28669.0,28672.0,28948.0,71504.0,73440.0,73020.0,73571.0,73624.0,73929.0,72619.0,73486.0,72979.0,73769.0,73096.0,75015.0,73873.0,72990.0,72825.0,72918.0,73780.0,73327.0,73171.0,73456.0,73959.0
"Maslog,Eastern Samar",43027.0,43030.0,43306.0,73705.0,75641.0,75221.0,75772.0,75825.0,76130.0,74820.0,75687.0,75180.0,75970.0,75297.0,77216.0,76074.0,75191.0,75026.0,75119.0,75981.0,75528.0,75372.0,75657.0,76160.0
"Matag-ob,Leyte",20843.0,20846.0,21122.0,77998.0,79935.0,79515.0,80066.0,80118.0,80424.0,79114.0,79980.0,79473.0,80263.0,79590.0,81509.0,80367.0,79484.0,79319.0,79412.0,80274.0,79821.0,79665.0,79950.0,80453.0
"Matalom,Leyte",26892.0,26895.0,27171.0,83058.0,84994.0,84574.0,85125.0,85178.0,85483.0,84173.0,85040.0,84533.0,85325.0,84650.0,86569.0,85429.0,84544.0,84379.0,84472.0,85334.0,84883.0,84725.0,85012.0,85513.0
"Mayorga,Leyte",26700.0,26703.0,26979.0,74588.0,76524.0,76104.0,76653.0,76706.0,77013.0,75703.0,76570.0,76061.0,76851.0,76178.0,78097.0,76955.0,76072.0,75907.0,76002.0,76862.0,76411.0,76253.0,76538.0,77041.0
"Mercedes,Eastern Samar",35591.0,35594.0,35870.0,78427.0,80363.0,79943.0,80494.0,80547.0,80852.0,79542.0,80409.0,79902.0,80692.0,80019.0,81938.0,80796.0,79913.0,79748.0,79841.0,80703.0,80250.0,80094.0,80379.0,80882.0
"Merida,Leyta",20596.0,20599.0,20875.0,79647.0,81583.0,81163.0,81714.0,81767.0,82072.0,80762.0,81629.0,81122.0,81912.0,81239.0,83158.0,82016.0,81133.0,80968.0,81061.0,81923.0,81470.0,81314.0,81599.0,82102.0
"Mondragon,Northern Samar",53580.0,53340.0,52860.0,55740.0,57180.0,56820.0,57240.0,57300.0,57480.0,56520.0,56880.0,56760.0,57420.0,56940.0,58380.0,57540.0,56880.0,56640.0,56820.0,56820.0,56820.0,57120.0,57540.0,57900.0
"Naval,Biliran",24798.0,24801.0,25077.0,79465.0,81401.0,80982.0,81532.0,81585.0,81891.0,80580.0,81447.0,80940.0,81730.0,81058.0,82977.0,81835.0,80951.0,80786.0,80880.0,81741.0,81289.0,81133.0,81418.0,81920.0
"Oras,Eastern Samar",40261.0,40268.0,40540.0,68498.0,70434.0,70014.0,70565.0,70618.0,70923.0,69613.0,70480.0,69973.0,70763.0,70090.0,72009.0,70867.0,69984.0,69819.0,69912.0,70774.0,70321.0,70165.0,70450.0,70953.0
"Ormoc City,Leyte",18250.0,18253.0,18529.0,78297.0,80233.0,79813.0,80364.0,80417.0,80722.0,79412.0,80279.0,79772.0,80562.0,79889.0,81808.0,80666.0,79783.0,79618.0,79711.0,80573.0,80120.0,79964.0,80249.0,80752.0
"Padre Burgos,Southern Leyte",29952.0,29955.0,30231.0,82860.0,84796.0,84376.0,84927.0,84980.0,85285.0,83975.0,84842.0,84335.0,85125.0,84452.0,86371.0,85229.0,84346.0,84181.0,84274.0,85136.0,84683.0,84527.0,84812.0,85315.0
"Pagsanghan,Samar",39811.0,39814.0,40090.0,59685.0,61621.0,61201.0,61752.0,61805.0,62110.0,60800.0,61667.0,61160.0,61950.0,61277.0,63196.0,62054.0,61171.0,61006.0,61099.0,61961.0,61508.0,61352.0,61637.0,62140.0
"Palapag,Northern Samar",48836.0,48835.0,49111.0,58623.0,60559.0,60139.0,60690.0,60743.0,61048.0,59738.0,60605.0,60098.0,60888.0,60215.0,62134.0,60992.0,60109.0,59944.0,60037.0,60899.0,60446.0,60290.0,60575.0,61078.0
"Palo,Leyte",25198.0,25201.0,25477.0,72050.0,73986.0,73568.0,74117.0,74172.0,74475.0,73167.0,74032.0,73525.0,74315.0,73642.0,75563.0,74421.0,73536.0,73371.0,73464.0,74328.0,73873.0,73717.0,74002.0,74505.0
"Palompon,Leyte",22560.0,22563.0,22839.0,80628.0,82564.0,82144.0,82695.0,82748.0,83053.0,81743.0,82610.0,82103.0,82893.0,82220.0,84139.0,82997.0,82114.0,81949.0,82042.0,82904.0,82451.0,82295.0,82580.0,83083.0
"Pambujan,Northern Samar",50627.0,50630.0,50906.0,56856.0,58792.0,58372.0,58923.0,58976.0,59281.0,57971.0,58838.0,58331.0,59121.0,58448.0,60367.0,59225.0,58342.0,58177.0,58270.0,59132.0,58679.0,58523.0,58808.0,59311.0
