"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Giporlos,Eastern Samar",305875.0,306160.0,307190.0,897428.0,920778.0,916374.0,922337.0,921775.0,929429.0,914181.0,921704.0,918374.0,922253.0,918048.0,939777.0,925474.0,916940.0,914191.0,915871.0,927066.0,918758.0,905599.0,921090.0,930065.0
"Guiuan,Eastern Samar",352542.0,352827.0,353857.0,944094.0,967444.0,963040.0,969003.0,968441.0,976095.0,960847.0,968389.0,965040.0,968938.0,964714.0,986462.0,972159.0,963625.0,960876.0,962556.0,973732.0,965424.0,952265.0,967775.0,976750.0
"Hernani,Eastern Samar",340457.0,340742.0,341772.0,917886.0,941236.0,936832.0,942795.0,942233.0,949887.0,934639.0,942181.0,938832.0,942730.0,938506.0,960254.0,945951.0,937417.0,934668.0,936348.0,947524.0,939216.0,926057.0,941567.0,950542.0
"Hilongos,Leyte",201527.0,201812.0,202842.0,968831.0,992181.0,987777.0,993740.0,993178.0,1000832.0,985584.0,993126.0,989777.0,993675.0,989451.0,1011199.0,996896.0,988362.0,985613.0,987293.0,998469.0,990161.0,977002.0,992512.0,1001487.0
"Hinabangan,Samar",317198.0,317483.0,318513.0,784438.0,807788.0,803368.0,809331.0,808769.0,816439.0,801175.0,808733.0,805368.0,809282.0,805058.0,826790.0,812487.0,803953.0,801204.0,802900.0,814076.0,805752.0,792593.0,808103.0,817078.0
"Hindang,Leyte",195787.0,196072.0,197102.0,963108.0,986458.0,982054.0,988017.0,987455.0,995109.0,979861.0,987403.0,984054.0,987952.0,983728.0,1005476.0,991173.0,982639.0,979890.0,981570.0,992746.0,984438.0,971279.0,986789.0,995764.0
"Hinunangan,Southern Leyte",268269.0,268554.0,269584.0,958175.0,981525.0,977121.0,983084.0,982522.0,990176.0,974928.0,982470.0,979121.0,983019.0,978795.0,1000543.0,986240.0,977706.0,974957.0,976637.0,987813.0,979505.0,966346.0,981856.0,990831.0
"Hinundayan,Southern Leyte",268005.0,268290.0,269320.0,957911.0,981261.0,976857.0,982820.0,982258.0,989912.0,974664.0,982206.0,978857.0,982755.0,978531.0,1000279.0,985976.0,977442.0,974693.0,976373.0,987549.0,979241.0,966082.0,981592.0,990567.0
"Inopacan,Leyte",185276.0,185561.0,186591.0,952597.0,975947.0,971543.0,977506.0,976944.0,984598.0,969350.0,976892.0,973543.0,977441.0,973217.0,994965.0,980662.0,972128.0,969379.0,971059.0,982235.0,973927.0,960768.0,976278.0,985253.0
"Isabel,Leyte",158913.0,159198.0,160228.0,962515.0,985865.0,981461.0,987424.0,986862.0,994516.0,979268.0,986810.0,983461.0,987359.0,983135.0,1004883.0,990580.0,982046.0,979297.0,980977.0,992153.0,983845.0,970686.0,986196.0,995171.0
