"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Hindang,Leyte",14762.0,14661.0,14499.0,15237.0,15474.0,15054.0,15665.0,15476.0,15963.0,14653.0,15259.0,14930.0,15549.0,14972.0,17049.0,15950.0,15271.0,14328.0,14952.0,15814.0,15608.0,14786.0,15554.0,15993.0
"Hinunangan,Southern Leyte",14504.0,14403.0,14241.0,14979.0,15216.0,14796.0,15407.0,15218.0,15705.0,14395.0,15001.0,14672.0,15291.0,14714.0,16791.0,15692.0,15013.0,14070.0,14694.0,15556.0,15350.0,14528.0,15296.0,15735.0
"Hinundayan,Southern Leyte",14215.0,14114.0,13952.0,14690.0,14927.0,14507.0,15118.0,14929.0,15416.0,14106.0,14712.0,14383.0,15002.0,14425.0,16502.0,15403.0,14724.0,13781.0,14405.0,15267.0,15061.0,14239.0,15007.0,15446.0
"Inopacan,Leyte",13913.0,13812.0,13650.0,14388.0,14625.0,14205.0,14816.0,14627.0,15114.0,13804.0,14410.0,14081.0,14700.0,14123.0,16200.0,15101.0,14422.0,13479.0,14103.0,14965.0,14759.0,13937.0,14705.0,15144.0
"Isabel,Leyte",15871.0,15770.0,15608.0,16346.0,16583.0,16163.0,16774.0,16585.0,17072.0,15762.0,16368.0,16039.0,16658.0,16081.0,18158.0,17059.0,16380.0,15437.0,16061.0,16923.0,16717.0,15895.0,16663.0,17102.0
"Jaro,Leyte",8471.0,8370.0,8208.0,8946.0,9183.0,8763.0,9374.0,9185.0,9672.0,8362.0,8968.0,8639.0,9258.0,8681.0,10758.0,9659.0,8980.0,8037.0,8661.0,9523.0,9317.0,8495.0,9263.0,9702.0
"Javier,Leyte",9410.0,9309.0,9147.0,9885.0,10122.0,9702.0,10313.0,10124.0,10611.0,9301.0,9907.0,9578.0,10197.0,9620.0,11697.0,10598.0,9919.0,8976.0,9600.0,10462.0,10256.0,9434.0,10202.0,10641.0
"Jiabong,Samar",15208.0,15107.0,14945.0,15683.0,15920.0,15500.0,16111.0,15922.0,16409.0,15099.0,15705.0,15376.0,15995.0,15418.0,17495.0,16396.0,15717.0,14774.0,15398.0,16260.0,16054.0,15232.0,16000.0,16439.0
"Julita,Leyte",8197.0,8096.0,7934.0,8672.0,8909.0,8489.0,9100.0,8911.0,9398.0,8088.0,8694.0,8365.0,8984.0,8407.0,10484.0,9385.0,8706.0,7763.0,8387.0,9249.0,9043.0,8221.0,8989.0,9428.0
"Kananga,Leyte",11582.0,11481.0,11319.0,12057.0,12294.0,11874.0,12485.0,12296.0,12783.0,11473.0,12079.0,11750.0,12369.0,11792.0,13869.0,12770.0,12091.0,11148.0,11772.0,12634.0,12428.0,11606.0,12374.0,12813.0
"Kawayan,Biliran",16235.0,16134.0,15972.0,16710.0,16947.0,16527.0,17138.0,16949.0,17436.0,16126.0,16732.0,16403.0,17022.0,16445.0,18522.0,17423.0,16744.0,15801.0,16425.0,17287.0,17081.0,16259.0,17027.0,17466.0
"La Paz,Leyte",8903.0,8802.0,8640.0,9378.0,9615.0,9195.0,9806.0,9617.0,10104.0,8794.0,9400.0,9071.0,9690.0,9113.0,11190.0,10091.0,9412.0,8469.0,9093.0,9955.0,9749.0,8927.0,9695.0,10134.0
"Laoang,Northern Samar",32551.0,32450.0,32288.0,33026.0,33263.0,32843.0,33454.0,33265.0,33752.0,32442.0,33048.0,32719.0,33338.0,32761.0,34838.0,33739.0,33060.0,32117.0,32741.0,33603.0,33397.0,32575.0,33343.0,33782.0
"Lapinig,Northern Samar",25414.0,25313.0,25151.0,25889.0,26126.0,25706.0,26317.0,26128.0,26615.0,25305.0,25911.0,25582.0,26201.0,25624.0,27701.0,26602.0,25923.0,24980.0,25604.0,26466.0,26260.0,25438.0,26206.0,26645.0
"Las Navas,Northern Samar",33996.0,33895.0,33733.0,34471.0,34708.0,34288.0,34899.0,34710.0,35197.0,33887.0,34493.0,34164.0,34783.0,34206.0,36283.0,35184.0,34505.0,33562.0,34186.0,35048.0,34842.0,34020.0,34788.0,35227.0
"Lavezares,Northern Samar",28863.0,28762.0,28600.0,29338.0,29575.0,29157.0,29766.0,29579.0,30064.0,28754.0,29360.0,29031.0,29650.0,29073.0,31150.0,30051.0,29372.0,28429.0,29055.0,29915.0,29709.0,28887.0,29657.0,30094.0
"Lawaan,Eastern Samar",11835.0,11734.0,11572.0,12310.0,12547.0,12127.0,12738.0,12549.0,13036.0,11726.0,12332.0,12003.0,12622.0,12045.0,14122.0,13023.0,12344.0,11401.0,12025.0,12887.0,12681.0,11859.0,12627.0,13066.0
"Leyte,Leyte",11671.0,11570.0,11408.0,12146.0,12383.0,11963.0,12574.0,12385.0,12872.0,11562.0,12168.0,11839.0,12458.0,11881.0,13958.0,12859.0,12180.0,11237.0,11861.0,12723.0,12517.0,11695.0,12463.0,12902.0
"Libagon,Southern Leyte",16481.0,16380.0,16218.0,16956.0,17193.0,16773.0,17384.0,17195.0,17682.0,16372.0,16978.0,16649.0,17268.0,16691.0,18768.0,17669.0,16990.0,16047.0,16671.0,17533.0,17327.0,16505.0,17273.0,17712.0
"Liloan,Southern Leyte",16279.0,16178.0,16016.0,16754.0,16991.0,16571.0,17182.0,16993.0,17480.0,16170.0,16776.0,16447.0,17066.0,16489.0,18566.0,17467.0,16788.0,15845.0,16469.0,17331.0,17125.0,16303.0,17071.0,17510.0
"Llorente,Eastern Samar",16777.0,16676.0,16514.0,17252.0,17489.0,17069.0,17680.0,17491.0,17978.0,16668.0,17274.0,16945.0,17564.0,16987.0,19064.0,17965.0,17286.0,16343.0,16967.0,17829.0,17623.0,16801.0,17569.0,18008.0
"Lope de Vega,Northern Samar",25337.0,25236.0,25074.0,25812.0,26049.0,25629.0,26240.0,26051.0,26538.0,25228.0,25834.0,25505.0,26124.0,25547.0,27624.0,26525.0,25846.0,24903.0,25527.0,26389.0,26183.0,25361.0,26129.0,26568.0
"Macarthur,Leyte",9303.0,9202.0,9040.0,9778.0,10015.0,9595.0,10206.0,10017.0,10504.0,9194.0,9800.0,9471.0,10090.0,9513.0,11590.0,10491.0,9812.0,8869.0,9493.0,10355.0,10149.0,9327.0,10095.0,10534.0
"Macrohon,Southern Leyte",17751.0,17650.0,17488.0,18226.0,18463.0,18043.0,18654.0,18465.0,18952.0,17642.0,18248.0,17919.0,18538.0,17961.0,20038.0,18939.0,18260.0,17317.0,17941.0,18803.0,18597.0,17775.0,18543.0,18982.0
"Mahaplag,Leyte",10813.0,10712.0,10550.0,11288.0,11525.0,11105.0,11716.0,11527.0,12014.0,10704.0,11310.0,10981.0,11600.0,11023.0,13100.0,12001.0,11322.0,10379.0,11003.0,11865.0,11659.0,10837.0,11605.0,12044.0
